osiics_16_code;problem_type;osiics_16_level_1;osiics_16_level_2;osiics_16_level_3;osiics_16_level_4
DPY;Injury;Thoracic spine;Non-specific;Injury without tissue type specified;Thoracic muscle trigger points
DPP;Injury;Thoracic spine;Non-specific;Injury without tissue type specified;Thoracic functional pain
DP1;Injury;Thoracic spine;Non-specific;Injury without tissue type specified;Chronic thoracic functional pain
DZX;Injury;Thoracic spine;Non-specific;Unknown;Thoracic pain/injury not otherwise specified
DZ1;Injury;Thoracic spine;Non-specific;Unknown;Thoracic pain undiagnosed
LMG;Injury;Lumbosacral;Muscle/tendon;Muscle injury;Gluteal muscle strain
LMZ;Injury;Lumbosacral;Muscle/tendon;Muscle injury;Buttock muscle soreness/trigger points
LMP;Injury;Lumbosacral;Muscle/tendon;Muscle injury;Piriformis muscle strain
LMB;Injury;Lumbosacral;Muscle/tendon;Muscle injury;Buttock muscle strain/spasm/trigger points
LM1;Injury;Lumbosacral;Muscle/tendon;Muscle injury;Lumbar spine muscle and tendon strain/spasm/trigger points
LMT;Injury;Lumbosacral;Muscle/tendon;Muscle injury;Lumbar soreness or muscle spasm
LHS;Injury;Lumbosacral;Superficial tissues/skin;Contusion (superficial);SIJ bruising/haematoma
LH1;Injury;Lumbosacral;Superficial tissues/skin;Contusion (superficial);Lumbar contusion/haematoma
LHB;Injury;Lumbosacral;Superficial tissues/skin;Contusion (superficial);Buttock soft tissue bruising/haematoma
LTP;Injury;Lumbosacral;Muscle/tendon;Tendinopathy;Piriformis tendinopathy/soreness
LN1;Injury;Lumbosacral;Nervous;Brain/spinal cord injury;Lumbar spinal injury
GN1;Injury;Hip/groin;Nervous;Peripheral nerve injury;Genitofemoral nerve entrapment
GNE;Injury;Hip/groin;Nervous;Peripheral nerve injury;Nerve entrapment groin
GNI;Injury;Hip/groin;Nervous;Peripheral nerve injury;Ilioinguinal nerve entrapment
GNM;Injury;Hip/groin;Nervous;Peripheral nerve injury;Thigh neurological injury
GNO;Injury;Hip/groin;Nervous;Peripheral nerve injury;Obturator nerve entrapment
GNX;Injury;Hip/groin;Nervous;Peripheral nerve injury;Groin neurovascular injuries
TNEL;Injury;Thigh;Nervous;Peripheral nerve injury;Lateral cutaneous nerve of thigh entrapment
TN1;Injury;Thigh;Nervous;Peripheral nerve injury;Nerve entrapment in thigh
QN1;Injury;Lower leg;Nervous;Peripheral nerve injury;Peroneal nerve palsy (with foot drop)
QNX;Injury;Lower leg;Nervous;Peripheral nerve injury;Neurological injury of lower leg
ANX;Injury;Ankle;Nervous;Peripheral nerve injury;Nerve injury - at ankle
LFS;Injury;Lumbosacral;Bone;Fracture;Fractured sacrum
LFZ;Injury;Lumbosacral;Bone;Fracture;Other lumbar spine fracture
LFX;Injury;Lumbosacral;Bone;Fracture;Lumbar spine fracture
LFV;Injury;Lumbosacral;Bone;Fracture;Lumbar spine vertebral body fracture
LFSX;Injury;Lumbosacral;Bone;Fracture;Lumbar spinous process fracture
LFP;Injury;Lumbosacral;Bone;Fracture;Pelvic fracture(s)
LFI;Injury;Lumbosacral;Bone;Fracture;Fractured ischium
LFD;Injury;Lumbosacral;Bone;Fracture;Lumbar pedicle fracture
LFC;Injury;Lumbosacral;Bone;Fracture;Complication of lumbar fracture
LFA;Injury;Lumbosacral;Bone;Fracture;Lumbar pars interarticularis acute fracture
LFT;Injury;Lumbosacral;Bone;Fracture;Fracture transverse process(es)
LFM;Injury;Lumbosacral;Bone;Fracture;Multiple lumbar spine fractures
LS1;Injury;Lumbosacral;Bone;Bone stress injury;Stress fracture lumbar spine
LSU;Injury;Lumbosacral;Bone;Bone stress injury;Pars stress fracture L1 - L3
LSI;Injury;Lumbosacral;Bone;Bone stress injury;Stress fracture ilium
LSP;Injury;Lumbosacral;Bone;Bone stress injury;Pars interarticularis stress fracture
LSM;Injury;Lumbosacral;Bone;Bone stress injury;Multiple (incl bilateral) pars stress fractures
LSLX;Injury;Lumbosacral;Bone;Bone stress injury;Other lumbar spine stress fracture
LSL;Injury;Lumbosacral;Bone;Bone stress injury;Spondylolisthesis lumbar
LSIS;Injury;Lumbosacral;Bone;Bone stress injury;Stress fracture ischium
LSS;Injury;Lumbosacral;Bone;Bone stress injury;Stress fracture sacrum
LSF;Injury;Lumbosacral;Bone;Bone stress injury;Pars stress fracture L5
LSE;Injury;Lumbosacral;Bone;Bone stress injury;Pars stress fracture L4
LSC;Injury;Lumbosacral;Bone;Bone stress injury;Stress fracture coccyx
LS2;Injury;Lumbosacral;Bone;Bone stress injury;Lumbar stress reaction
LSG;Injury;Lumbosacral;Bone;Bone stress injury;Other stress fracture pelvis
LS3;Injury;Lumbosacral;Bone;Bone stress injury;Lumbar pedicle stress fracture
LJX;Injury;Lumbosacral;Bone;Bone contusion;Lumbar spine/buttock bone contusion
ANC;Injury;Ankle;Nervous;Peripheral nerve injury;Calcaneal nerve entrapment
LC1;Injury;Lumbosacral;Cartilage/synovium/bursa;Cartilage injury;Lumbar discogenic pain
LC2;Injury;Lumbosacral;Cartilage/synovium/bursa;Cartilage injury;Disc degeneration
LC3;Injury;Lumbosacral;Cartilage/synovium/bursa;Cartilage injury;Lumbar disc annular tear
LCP;Injury;Lumbosacral;Cartilage/synovium/bursa;Cartilage injury;Lumbar disc prolapse
LAE;Injury;Lumbosacral;Cartilage/synovium/bursa;Arthritis;Degenerative L5/S1 disc disease
LAD;Injury;Lumbosacral;Cartilage/synovium/bursa;Arthritis;Degenerative L4/L5 disc disease
LAM;Injury;Lumbosacral;Cartilage/synovium/bursa;Arthritis;Degenerative disc disease multiple levels lumbar spine
LAX;Injury;Lumbosacral;Cartilage/synovium/bursa;Arthritis;Osteoarthritis lumbosacral spine
LA1;Injury;Lumbosacral;Cartilage/synovium/bursa;Arthritis;Facet joint osteoarthritis lumbosacral spine
LLJ;Injury;Lumbosacral;Ligament/joint capsule;Joint sprain;Spinal joint sprain
LLI;Injury;Lumbosacral;Ligament/joint capsule;Joint sprain;Iliolumbar ligament pain
LLF;Injury;Lumbosacral;Ligament/joint capsule;Joint sprain;Lumbar facet joint sprain
LL1;Injury;Lumbosacral;Ligament/joint capsule;Joint sprain;Lumbar region ligament sprain
LLS;Injury;Lumbosacral;Ligament/joint capsule;Joint sprain;Sacroiliac joint sprain
LLC;Injury;Lumbosacral;Ligament/joint capsule;Joint sprain;Sacrococcygeal joint injury/pain
LU1;Injury;Lumbosacral;Ligament/joint capsule;Chronic instability;Lumbar instability
LUT;Injury;Lumbosacral;Ligament/joint capsule;Chronic instability;Grade 2-3 spondylolisthesis lumbar spine
LUSX;Injury;Lumbosacral;Ligament/joint capsule;Chronic instability;Spondylolisthesis any level
LUSD;Injury;Lumbosacral;Ligament/joint capsule;Chronic instability;Grade 4 spondylolisthesis lumbar spine
LUS;Injury;Lumbosacral;Ligament/joint capsule;Chronic instability;Sacroiliac joint instability
LUP;Injury;Lumbosacral;Ligament/joint capsule;Chronic instability;Lumbosacral instability
LUR;Injury;Lumbosacral;Ligament/joint capsule;Chronic instability;Retrolisthesis lumbar spine
LK1;Injury;Lumbosacral;Muscle/tendon;Laceration;Complication of lumbosacral laceration incl infection
LKB;Injury;Lumbosacral;Muscle/tendon;Laceration;Pelvic/buttock laceration
LKX;Injury;Lumbosacral;Muscle/tendon;Laceration;Lumbar laceration
LIB;Injury;Lumbosacral;Superficial tissues/skin;Abrasion;Buttock abrasion incl skin pressure injury
LP1;Injury;Lumbosacral;Non-specific;Injury without tissue type specified;Chronic lumbar functional pain
LPS;Injury;Lumbosacral;Non-specific;Injury without tissue type specified;Sacroiliac joint injury/pain
LZX;Injury;Lumbosacral;Non-specific;Unknown;Lumbar pain/injury not otherwise specified
LZ1;Injury;Lumbosacral;Non-specific;Unknown;Lumbar pain non-specific
LZB;Injury;Lumbosacral;Non-specific;Unknown;Buttock pain not otherwise specified
LZH;Injury;Lumbosacral;Non-specific;Unknown;Lumbar pain with hamstring referral
LZU;Injury;Lumbosacral;Non-specific;Unknown;Buttock pain undiagnosed
OMO;Injury;Abdomen;Muscle/tendon;Muscle injury;Abdominal oblique muscle strain
OMM;Injury;Abdomen;Muscle/tendon;Muscle injury;Truncal muscle strain
OMA;Injury;Abdomen;Muscle/tendon;Muscle injury;Transversus abdominis muscle strain
OMW;Injury;Abdomen;Muscle/tendon;Muscle injury;Winded
OM1;Injury;Abdomen;Muscle/tendon;Muscle injury;Truncal muscle trigger points/spasm
OMY;Injury;Abdomen;Muscle/tendon;Muscle injury;Rectus abdominis trigger points/spasm
OMT;Injury;Abdomen;Muscle/tendon;Muscle injury;Abdominal muscle soreness or spasm
OH1;Injury;Abdomen;Superficial tissues/skin;Contusion (superficial);Abdominopelvic soft tissue bruising/haematoma
OTS;Injury;Abdomen;Muscle/tendon;Tendinopathy;Abdominal tendon insertion strain
OTU;Injury;Abdomen;Muscle/tendon;Tendinopathy;Umbilical hernia
OTR;Injury;Abdomen;Muscle/tendon;Tendinopathy;Rectus abdominus tendinopathy
OTI;Injury;Abdomen;Muscle/tendon;Tendinopathy;Direct inguinal hernia
OTH;Injury;Abdomen;Muscle/tendon;Tendinopathy;Sports hernia/abdominal tendinopathy
OTA;Injury;Abdomen;Muscle/tendon;Tendinopathy;Abdominal tendon insertion injury
OT2;Injury;Abdomen;Muscle/tendon;Tendinopathy;Costolliac impingement
OT1;Injury;Abdomen;Muscle/tendon;Tendinopathy;Divarication of rectus abdominis
OTX;Injury;Abdomen;Muscle/tendon;Tendinopathy;Abdominal tendon injury
ORI;Injury;Abdomen;Muscle/tendon;Tendon rupture;Abdominal tendon insertion rupture
OKS;Injury;Abdomen;Muscle/tendon;Laceration;Truncal laceration requiring suturing
OKX;Injury;Abdomen;Muscle/tendon;Laceration;Truncal laceration/abrasion
OIX;Injury;Abdomen;Superficial tissues/skin;Abrasion;Complication of abrasion to trunk - including infection
OO1;Injury;Abdomen;Internal organs;Organ trauma;Intestinal trauma
OOB;Injury;Abdomen;Internal organs;Organ trauma;Bladder trauma
OOH;Injury;Abdomen;Internal organs;Organ trauma;Trunk and abdominal injury
OOK;Injury;Abdomen;Internal organs;Organ trauma;Kidney trauma
OOM;Injury;Abdomen;Internal organs;Organ trauma;Multiple organ trauma
OOL;Injury;Abdomen;Internal organs;Organ trauma;Liver trauma
OOP;Injury;Abdomen;Internal organs;Organ trauma;Pancreatic trauma
OOS;Injury;Abdomen;Internal organs;Organ trauma;Spleen trauma
OOZ;Injury;Abdomen;Internal organs;Organ trauma;Other organ trauma not otherwise specified
OOX;Injury;Abdomen;Internal organs;Organ trauma;Abdominal organ injury
OPS;Injury;Abdomen;Non-specific;Injury without tissue type specified;Runner's stitch
OPY;Injury;Abdomen;Non-specific;Injury without tissue type specified;Abdominal muscle cramps
OP1;Injury;Abdomen;Non-specific;Injury without tissue type specified;Exertional abdominal pain
OZ1;Injury;Abdomen;Non-specific;Unknown;Abdominal pain undiagnosed
OZX;Injury;Abdomen;Non-specific;Unknown;Abdominal pain not otherwise specified
GMA;Injury;Hip/groin;Muscle/tendon;Muscle injury;Proximal adductor trigger points
GMY;Injury;Hip/groin;Muscle/tendon;Muscle injury;Groin soreness or trigger points
GMR;Injury;Hip/groin;Muscle/tendon;Muscle injury;Rectus abdominus strain
GMP;Injury;Hip/groin;Muscle/tendon;Muscle injury;Iliopsoas muscle strain/tear
GMFP;Injury;Hip/groin;Muscle/tendon;Muscle injury;Psoas muscle strain/tear
GM8;Injury;Hip/groin;Muscle/tendon;Muscle injury;Hip and groin muscle strain/tear
GM1;Injury;Hip/groin;Muscle/tendon;Muscle injury;Hip flexor muscle strain
GMI;Injury;Hip/groin;Muscle/tendon;Muscle injury;Soreness/trigger points iliopsoas
GHZ;Injury;Hip/groin;Superficial tissues/skin;Contusion (superficial);Other hip/groin bruising/haematoma
GHL;Injury;Hip/groin;Superficial tissues/skin;Contusion (superficial);Labial bruising/haematoma
GH1;Injury;Hip/groin;Superficial tissues/skin;Contusion (superficial);Contusion/haematoma, hip region
GTS;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Snapping psoas tendon
GTL;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Adductor longus tendon injury
GTLS;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Adductor longus tendon strain
GTMS;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Adductor magnus tendon strain
GTX;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Hip and groin tendon injuries
GTO;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Abdominal tendon insertion tendinopathy
GTRS;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Rectus femoris tendon strain
GTSS;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Sartorius tendon strain
GTM;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Adductor magnus tendon injury
GTST;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Sartorius tendinopathy
GTHI;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Indirect inguinal hernia
GTR;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Rectus femoris tendon injury
GTH;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Sports hernia
GTFT;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Iliopsoas tendinopathy
GTMT;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Adductor magnus tendinopathy
GTFS;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Iliopsoas tendon strain
GTFR;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Iliopsoas tendon rupture
GTF;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Iliopsoas tendon injury
GTD;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Unspecified or multiple adductor tendon injury
GT3;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Iliopsoas tendinopathy/bursitis
GT1;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Adductor origin tendinopathy
GTHF;Injury;Hip/groin;Muscle/tendon;Tendinopathy;Femoral hernia
GRM;Injury;Hip/groin;Muscle/tendon;Tendon rupture;Adductor magnus tendon rupture
GRR;Injury;Hip/groin;Muscle/tendon;Tendon rupture;Rectus femoris origin tendon rupture
GRS;Injury;Hip/groin;Muscle/tendon;Tendon rupture;Sartorius tendon rupture
GRA;Injury;Hip/groin;Muscle/tendon;Tendon rupture;Adductor longus tendon rupture
ANM;Injury;Ankle;Nervous;Peripheral nerve injury;Medial calcaneal nerve entrapment
ANT;Injury;Ankle;Nervous;Peripheral nerve injury;Tarsal tunnel syndrome
FNX;Injury;Foot;Nervous;Peripheral nerve injury;Foot neurological injury
FN1;Injury;Foot;Nervous;Peripheral nerve injury;Morton's neuroma or joplin's neuritis
XNU;Injury;Multiple systems;Nervous;Peripheral nerve injury;Upper limb neurological injury
XNL;Injury;Multiple systems;Nervous;Peripheral nerve injury;Lower limb neurological injury
GFPI;Injury;Hip/groin;Bone;Fracture;Fracture inferior pubic ramus
GF2;Injury;Hip/groin;Bone;Fracture;Fractured coccyx
GFPS;Injury;Hip/groin;Bone;Fracture;Fracture superior pubic ramus
GFX;Injury;Hip/groin;Bone;Fracture;Hip/groin fractures
GFP;Injury;Hip/groin;Bone;Fracture;Fracture pubic ramus
GFN;Injury;Hip/groin;Bone;Fracture;Fractured neck of femur
GF3;Injury;Hip/groin;Bone;Fracture;Fractured ilium
GF1;Injury;Hip/groin;Bone;Fracture;Acetabular fracture
GFF;Injury;Hip/groin;Bone;Fracture;Femoral fracture
GSN;Injury;Hip/groin;Bone;Bone stress injury;Femoral neck stress fracture
GS3;Injury;Hip/groin;Bone;Bone stress injury;Stress fracture pelvic bone
GSP;Injury;Hip/groin;Bone;Bone stress injury;Pelvic stress fracture
GSPI;Injury;Hip/groin;Bone;Bone stress injury;Stress fracture inferior pubic ramus
GSM;Injury;Hip/groin;Bone;Bone stress injury;Multiple stress fractures pelvis
GSX;Injury;Hip/groin;Bone;Bone stress injury;Hip/groin stress fracture
GS2;Injury;Hip/groin;Bone;Bone stress injury;Stress fracture through femoral neck (both cortices)
GS1;Injury;Hip/groin;Bone;Bone stress injury;Osteitis pubis
GSFI;Injury;Hip/groin;Bone;Bone stress injury;Stress fracture inferior cortex femoral neck
GSFS;Injury;Hip/groin;Bone;Bone stress injury;Stress fracture superior cortex femoral neck
GJX;Injury;Hip/groin;Bone;Bone contusion;Groin/hip bone contusion
GEA;Injury;Hip/groin;Bone;Avascular necrosis;Hip avascular necrosis
GEP;Injury;Hip/groin;Bone;Avascular necrosis;Perthes disease
GEVA;Injury;Hip/groin;Bone;Avascular necrosis;Avascular necrosis femoral head
XNS;Injury;Multiple systems;Nervous;Brain/spinal cord injury;Spinal injury crossing anatomical boundaries
ZNS;Injury;Unknown or not specified;Nervous;Brain/spinal cord injury;Spinal injury location unspecified
SGS;Injury;Shoulder;Bone;Physis injury;Traction injury to apophysis at shoulder
SGO;Injury;Shoulder;Bone;Physis injury;Osteochondrosis shoulder
UGL;Injury;Upper arm;Bone;Physis injury;Little leaguers' shoulder
EGC;Injury;Elbow;Bone;Physis injury;Capitellar osteochondrosis
EGT;Injury;Elbow;Bone;Physis injury;Traction injury to apophysis at elbow
EGM;Injury;Elbow;Bone;Physis injury;Apophysitis medial epicondyle elbow
WGO;Injury;Wrist;Bone;Physis injury;Osteochondrosis of wrist and hand
GC1;Injury;Hip/groin;Cartilage/synovium/bursa;Cartilage injury;Hip joint chondral/osteochondral injury
GCC;Injury;Hip/groin;Cartilage/synovium/bursa;Cartilage injury;Hip joint chondral lesion
GCL;Injury;Hip/groin;Cartilage/synovium/bursa;Cartilage injury;Labral tear, hip joint
GA1;Injury;Hip/groin;Cartilage/synovium/bursa;Arthritis;Hip joint osteoarthritis
GAX;Injury;Hip/groin;Cartilage/synovium/bursa;Arthritis;Hip/groin arthritis
GQH;Injury;Hip/groin;Cartilage/synovium/bursa;Synovitis/capsulitis;Synovitis of hip joint
GQX;Injury;Hip/groin;Cartilage/synovium/bursa;Synovitis/capsulitis;Hip joint inflammation/synovitis/other biomechanical lesion
GBT;Injury;Hip/groin;Cartilage/synovium/bursa;Bursitis;Trochanteric bursitis
GLH;Injury;Hip/groin;Ligament/joint capsule;Joint sprain;Hip joint sprain/jar
GD1;Injury;Hip/groin;Ligament/joint capsule;Joint sprain;Hip joint dislocation
GUP;Injury;Hip/groin;Ligament/joint capsule;Chronic instability;Pubic symphysis instability
GUH;Injury;Hip/groin;Ligament/joint capsule;Chronic instability;Instability of hip joint
GVH;Injury;Hip/groin;Vessels;Vascular trauma;Vascular injury hip region
GVI;Injury;Hip/groin;Vessels;Vascular trauma;Exercise-related iliac artery flow limitation
GK1;Injury;Hip/groin;Muscle/tendon;Laceration;Complication of laceration including infection
GKX;Injury;Hip/groin;Muscle/tendon;Laceration;Hip and groin laceration
GIX;Injury;Hip/groin;Superficial tissues/skin;Abrasion;Groin/hip abrasion
GOT;Injury;Hip/groin;Internal organs;Organ trauma;Groin organ damage
GOP;Injury;Hip/groin;Internal organs;Organ trauma;Pelvic organ injury
GOR;Injury;Hip/groin;Internal organs;Organ trauma;Testicular rupture
GOU;Injury;Hip/groin;Internal organs;Organ trauma;Penile injury
GO1;Injury;Hip/groin;Internal organs;Organ trauma;Ruptured penis/urethra
GO2;Injury;Hip/groin;Internal organs;Organ trauma;Testicular/scrotal contusion/haematoma
GP1;Injury;Hip/groin;Non-specific;Injury without tissue type specified;Chronic non specific /functional groin pain
GPY;Injury;Hip/groin;Non-specific;Injury without tissue type specified;Other stress/overuse injury hip and groin
GZS;Injury;Hip/groin;Non-specific;Unknown;Post hip/groin surgery
GZX;Injury;Hip/groin;Non-specific;Unknown;Hip/groin pain not otherwise specified
GZN;Injury;Hip/groin;Non-specific;Unknown;Pelvic/buttock pain not otherwise specified
GZH;Injury;Hip/groin;Non-specific;Unknown;Clicking hip
GZ1;Injury;Hip/groin;Non-specific;Unknown;Groin pain undiagnosed
TMV;Injury;Thigh;Muscle/tendon;Muscle injury;Other quadricep strain
TMH;Injury;Thigh;Muscle/tendon;Muscle injury;Hamstring cramping during exercise
TM1;Injury;Thigh;Muscle/tendon;Muscle injury;Hamstring strain/tear
TM2;Injury;Thigh;Muscle/tendon;Muscle injury;Quadriceps strain/tear
TMA;Injury;Thigh;Muscle/tendon;Muscle injury;Distal adductor strain
TMAL;Injury;Thigh;Muscle/tendon;Muscle injury;Adductor longus strain
TMAR;Injury;Thigh;Muscle/tendon;Muscle injury;Adductor muscle rupture/grade 3 strain
TMB;Injury;Thigh;Muscle/tendon;Muscle injury;Biceps femoris strain grade 1 - 2
TMC;Injury;Thigh;Muscle/tendon;Muscle injury;Thigh muscle cramping during exercise
TMCA;Injury;Thigh;Muscle/tendon;Muscle injury;Adductor muscle cramping during exercise
TMCQ;Injury;Thigh;Muscle/tendon;Muscle injury;Quadricep cramping during exercise
TMG;Injury;Thigh;Muscle/tendon;Muscle injury;Gluteus medius/minimus strain
TMX;Injury;Thigh;Muscle/tendon;Muscle injury;Gluteus maximus strain
TMGX;Injury;Thigh;Muscle/tendon;Muscle injury;Thigh muscle wasting
TMHR;Injury;Thigh;Muscle/tendon;Muscle injury;Grade 3 hamstring strain
TML;Injury;Thigh;Muscle/tendon;Muscle injury;Back referred muscle tightness
TMM;Injury;Thigh;Muscle/tendon;Muscle injury;Adductor magnus strain
TMP;Injury;Thigh;Muscle/tendon;Muscle injury;Thigh muscle trigger points
TMQ;Injury;Thigh;Muscle/tendon;Muscle injury;Rectus femoris rupture
TMR;Injury;Thigh;Muscle/tendon;Muscle injury;Rectus femoris strain
TMS;Injury;Thigh;Muscle/tendon;Muscle injury;Semimembranosis/tendinosis strain (grade 1 - 2)
TMT;Injury;Thigh;Muscle/tendon;Muscle injury;Rectus femoris trigger points
TMW;Injury;Thigh;Muscle/tendon;Muscle injury;Back referred hamstring tightness
TMY;Injury;Thigh;Muscle/tendon;Muscle injury;Lateral hamstring trigger points
TMZ;Injury;Thigh;Muscle/tendon;Muscle injury;Thigh muscle strain/spasm/trigger points
TMGQ;Injury;Thigh;Muscle/tendon;Muscle injury;Quadriceps wasting
THI;Injury;Thigh;Superficial tissues/skin;Contusion (superficial);Bruising/haematoma iliac crest/gluteus medius
THH;Injury;Thigh;Muscle/tendon;Muscle contusion;Hamstring muscle haematoma
THV;Injury;Thigh;Muscle/tendon;Muscle contusion;Iliotibial band haematoma
THD;Injury;Thigh;Muscle/tendon;Muscle contusion;Adductor muscle haematoma
THZ;Injury;Thigh;Superficial tissues/skin;Contusion (superficial);Other thigh soft tissue bruising/haematoma not otherwise specified
THA;Injury;Thigh;Vessels;Vascular trauma;Acute arterial bleed thigh
TH1;Injury;Thigh;Superficial tissues/skin;Contusion (superficial);Contusion/haematoma of thigh
THM;Injury;Thigh;Muscle/tendon;Muscle contusion;Myositis ossificans thigh
THQ;Injury;Thigh;Muscle/tendon;Muscle contusion;Quadriceps muscle haematoma
THT;Injury;Thigh;Muscle/tendon;Muscle contusion;Thigh muscle haematoma
TYC;Injury;Thigh;Muscle/tendon;Muscle compartment syndrome;Compartment syndrome of thigh
TTP;Injury;Thigh;Muscle/tendon;Tendinopathy;Tenoperiostitis of thigh
TTS;Injury;Thigh;Muscle/tendon;Tendinopathy;Sartorius tendon injury
TTM;Injury;Thigh;Muscle/tendon;Tendinopathy;Gluteus med/min tendinopathy
TTH;Injury;Thigh;Muscle/tendon;Tendinopathy;Hamstring tendinopathy with ischial bursitis
TTG;Injury;Thigh;Muscle/tendon;Tendinopathy;Gluteal tendinopathy/enthesopathy
TT8;Injury;Thigh;Muscle/tendon;Tendinopathy;Thigh tendon injuries
TT1;Injury;Thigh;Muscle/tendon;Tendinopathy;Hamstring origin tendinopathy
TTR;Injury;Thigh;Muscle/tendon;Tendinopathy;Rectus femoris origin tendinopathy
TRM;Injury;Thigh;Muscle/tendon;Tendon rupture;Gluteus med/min tendon rupture
TR1;Injury;Thigh;Muscle/tendon;Tendon rupture;Hamstring tendon injury
TRH;Injury;Thigh;Muscle/tendon;Tendon rupture;Hamstring origin tendon rupture
WGR;Injury;Wrist;Bone;Physis injury;Epiphysitis of distal radius
WGT;Injury;Wrist;Bone;Physis injury;Traction injury to apophysis at wrist/hand
TF1;Injury;Thigh;Bone;Fracture;Fractured femoral shaft
TFX;Injury;Thigh;Bone;Fracture;Thigh fractures
TS1;Injury;Thigh;Bone;Bone stress injury;Femoral bone stress lesion
TSF;Injury;Thigh;Bone;Bone stress injury;Femoral shaft stress fracture
TJF;Injury;Thigh;Bone;Bone contusion;Femur bone contusion
DGS;Injury;Thoracic spine;Bone;Physis injury;Osteochondrosis spine
TVML;Injury;Thigh;Superficial tissues/skin;Contusion (superficial);Morel-Lavall�e lesion, hip/thigh
TKX;Injury;Thigh;Muscle/tendon;Laceration;Thigh laceration/abrasion
TK1;Injury;Thigh;Muscle/tendon;Laceration;Complication of laceration incl. infection
TIX;Injury;Thigh;Superficial tissues/skin;Abrasion;Thigh abrasion
TISP;Injury;Thigh;Superficial tissues/skin;Abrasion;Upper leg skin pressure injury
TWS;Injury;Thigh;Stump;Stump injury;Stump pressure injury thigh
TWI;Injury;Thigh;Stump;Stump injury;Infection of stump thigh
TPZ;Injury;Thigh;Non-specific;Injury without tissue type specified;Thigh pain without tissue type specified
TZS;Injury;Thigh;Non-specific;Unknown;Other stress/overuse injuries to thigh
TZX;Injury;Thigh;Non-specific;Unknown;Thigh pain not otherwise specified
TZ1;Injury;Thigh;Non-specific;Unknown;Thigh pain/injury not otherwise specified
TZZ;Injury;Thigh;Non-specific;Unknown;Thigh pain undiagnosed
KMP;Injury;Knee;Muscle/tendon;Muscle injury;Popliteus muscle strain
KMX;Injury;Knee;Muscle/tendon;Muscle injury;Knee muscle strain/spasm/trigger points
KH1;Injury;Knee;Superficial tissues/skin;Contusion (superficial);Other soft tissue bruising/haematoma knee
KHQ;Injury;Knee;Muscle/tendon;Muscle contusion;Distal quadricep haematoma
KT9;Injury;Knee;Muscle/tendon;Tendinopathy;Lateral hamstring tendon strain at knee
KTPI;Injury;Knee;Muscle/tendon;Tendinopathy;Insertional patellar tendon pathology, incl intratendon ossicle
KTQ;Injury;Knee;Muscle/tendon;Tendinopathy;Quadriceps tendon injury
KTP;Injury;Knee;Muscle/tendon;Tendinopathy;Patellar tendon injury
KTM;Injury;Knee;Muscle/tendon;Tendinopathy;Gastrocnemius tendon injury
KTL;Injury;Knee;Muscle/tendon;Tendinopathy;Lateral gastroc tendinopathy knee
KTH;Injury;Knee;Muscle/tendon;Tendinopathy;Medial hamstring tendon strain at knee
KTS;Injury;Knee;Muscle/tendon;Tendinopathy;Medial hamstring insertion tendonitis/pes anserinus bursitis
KT7;Injury;Knee;Muscle/tendon;Tendinopathy;Quadriceps tendinopathy +/- suprapatellar bursitis
KT5;Injury;Knee;Muscle/tendon;Tendinopathy;Popliteus tendinopathy/strain
KT3;Injury;Knee;Muscle/tendon;Tendinopathy;Knee tendon injury
KT2;Injury;Knee;Muscle/tendon;Tendinopathy;Patellar tendinopathy
KT1;Injury;Knee;Muscle/tendon;Tendinopathy;Iliotibial band syndrome
KTG;Injury;Knee;Muscle/tendon;Tendinopathy;Medial gastroc tendinopathy knee
KTB;Injury;Knee;Muscle/tendon;Tendinopathy;Lateral hamstring insertion tendonitis
KRL;Injury;Knee;Muscle/tendon;Tendon rupture;Lateral hamstring tendon rupture at knee
KRQ;Injury;Knee;Muscle/tendon;Tendon rupture;Quadriceps tendon rupture
KRH;Injury;Knee;Muscle/tendon;Tendon rupture;Hamstring tendon rupture
KR2;Injury;Knee;Muscle/tendon;Tendon rupture;Medial hamstring tendon rupture
KR1;Injury;Knee;Muscle/tendon;Tendon rupture;Patellar tendon rupture
KF1;Injury;Knee;Bone;Fracture;Patella fracture
