osiics_15_code;osiics_15_diagnosis;osiics_15_body_part;osiics_15_tissue;osiics_15_pathology;osiics_15_organ_system;osiics_15_eitiology
LC3;Lumbar disc annular tear;Lumbar Spine;Cartilage/synovium/bursa ;Cartilage ;;
LCP;Lumbar disc prolapse;Lumbar Spine;Cartilage/synovium/bursa ;Cartilage ;;
LU1;Lumbar Instability;Lumbar Spine;Ligament/joint capsule ;Chronic instability ;;
LUSX;Spondylolisthesis any Level;Lumbar Spine;Ligament/joint capsule ;Chronic instability ;;
LSL;Spondylolisthesis lumbar;Lumbar Spine;Bone ;Bone stress injury ;;
LUT;Grade 2-3 Spondylolisthesis lumbar spine;Lumbar Spine;Ligament/joint capsule ;Chronic instability ;;
LUSD;Grade 4 Spondylolisthesis lumbar spine;Lumbar Spine;Ligament/joint capsule ;Chronic instability ;;
LUR;Retrolisthesis lumbar spine;Lumbar Spine;Ligament/joint capsule ;Chronic instability ;;
LUP;Lumbosacral instability;Lumbar Spine;Ligament/joint capsule ;Chronic instability ;;
LP1;Chronic lumbar functional pain;Lumbar Spine;Non-specific ;Pain without tissue type specified ;;
LFX;Lumbar Spine Fracture;Lumbar Spine;Bone ;Fracture ;;
LFV;Lumbar spine vertebral body fracture;Lumbar Spine;Bone ;Fracture ;;
LFT;Fracture transverse process(es);Lumbar Spine;Bone ;Fracture ;;
LFSX;Lumbar spinous process fracture;Lumbar Spine;Bone ;Fracture ;;
LFA;Lumbar pars interarticularis acute fracture;Lumbar Spine;Bone ;Fracture ;;
LFD;Lumbar pedicle fracture;Lumbar Spine;Bone ;Fracture ;;
LFM;Multiple lumbar spine fractures;Lumbar Spine;Bone ;Fracture ;;
LFZ;Other lumbar spine fracture;Lumbar Spine;Bone ;Fracture ;;
LFC;Complication of lumbar fracture;Lumbar Spine;Bone ;Fracture ;;
LS1;Stress fracture lumbar spine;Lumbar Spine;Bone ;Bone stress injury ;;
LS2;Lumbar stress reaction;Lumbar Spine;Bone ;Bone stress injury ;;
LSP;Pars interarticularis stress fracture;Lumbar Spine;Bone ;Bone stress injury ;;
LSU;Pars stress fracture L1 - L3;Lumbar Spine;Bone ;Bone stress injury ;;
LSE;Pars stress fracture L4;Lumbar Spine;Bone ;Bone stress injury ;;
LSF;Pars stress fracture L5;Lumbar Spine;Bone ;Bone stress injury ;;
LSM;Multiple (incl bilateral) pars stress fractures;Lumbar Spine;Bone ;Bone stress injury ;;
LS3;Lumbar pedicle stress fracture;Lumbar Spine;Bone ;Bone stress injury ;;
LSLX;Other lumbar spine stress fracture;Lumbar Spine;Bone ;Bone stress injury ;;
LNX;Lumbar Spine Neurological Injury;Lumbar Spine;Nervous system;Nerve injury;;
LNFX;Lumbar spinal fracture with associated neurological injury;Lumbar Spine;Nervous system;Nerve injury;;
LNFC;Lumbar spinal fracture with spinal cord/cauda equina injury;Lumbar Spine;Nervous system;Nerve injury;;
LN1;Lumbar spinal injury;Lumbar Spine;Nervous system;Nerve injury;;
LNA;Lumbosacral Nerve root impingement due to foraminal stenosis bony and disc;Lumbar Spine;Nervous system;Nerve injury;;
LN2;Lumbar nerve root impingement due to foraminal stenosis bony and disc;Lumbar Spine;Nervous system;Nerve injury;;
LN3;Lumbar Spinal canal stenosis;Lumbar Spine;Nervous system;Nerve injury;;
LN4;Lumbosacral nerve stretch/traction injury;Lumbar Spine;Nervous system;Nerve injury;;
LNZ;Other lumbosacral nerve injury;Lumbar Spine;Nervous system;Nerve injury;;
LAX;Osteoarthritis Lumbosacral spine;Lumbar Spine;Cartilage/synovium/bursa ;Arthritis ;;
LA1;Facet joint O/A lumbosacral spine;Lumbar Spine;Cartilage/synovium/bursa ;Arthritis ;;
LC2;Disc degeneration;Lumbar Spine;Cartilage/synovium/bursa ;Cartilage ;;
LAD;Degenerative L4/L5 disc disease;Lumbar Spine;Cartilage/synovium/bursa ;Arthritis ;;
LAE;Degenerative L5/S1 disc disease;Lumbar Spine;Cartilage/synovium/bursa ;Arthritis ;;
LAM;Degenerative disc disease multiple levels lumbar spine;Lumbar Spine;Cartilage/synovium/bursa ;Arthritis ;;
LZX;Lumbar pain/injury not otherwise specified;Lumbar Spine;Non-specific ;Unknown;;
LZH;Lumbar pain with hamstring referral;Lumbar Spine;Non-specific ;Unknown;;
LZ1;Lumbar pain non-specific;Lumbar Spine;Non-specific ;Unknown;;
LHB;Buttock Soft Tissue Bruising/Haematoma;Lumbar Spine;Muscle/tendon ;Muscle contusion ;;
LHS;SIJ bruising/haematoma;Lumbar Spine;Muscle/tendon ;Muscle contusion ;;
THI;Bruising/haematoma iliac crest/gluteus medius;Thigh;Muscle/tendon ;Muscle contusion ;;
LKB;Pelvic/Buttock Laceration;Lumbar Spine;Superficial tissues/skin ;Laceration ;;
LIB;Buttock abrasion incl pressure sores;Lumbar Spine;Superficial tissues/skin ;Abrasion ;;
LJX;Lumbar spine/buttock bone contusion  ;Lumbar Spine;Bone ;Bone contusion  ;;
XISS;Saddle sores;Multiple;Superficial tissues/skin ;Abrasion ;;
LMB;Buttock Muscle Strain/Spasm/Trigger Points;Lumbar Spine;Muscle/tendon ;Muscle injury;;
LMG;Gluteal muscle strain;Lumbar Spine;Muscle/tendon ;Muscle injury;;
TMX;Gluteus maximus strain;Thigh;Muscle/tendon ;Muscle injury;;
TMG;Gluteus medius/minimus strain;Thigh;Muscle/tendon ;Muscle injury;;
LMP;Piriformis muscle strain;Lumbar Spine;Muscle/tendon ;Muscle injury;;
LMZ;Buttock muscle soreness/trigger points;Lumbar Spine;Muscle/tendon ;Muscle injury;;
TTG;Gluteal tendinopathy/enthesopathy;Thigh;Muscle/tendon ;Tendinopathy ;;
TTM;Gluteus med/min tendinopathy;Thigh;Muscle/tendon ;Tendinopathy ;;
TRM;Gluteus med/min tendon rupture;Thigh;Muscle/tendon ;Tendon rupture ;;
LTP;Piriformis tendinopathy/soreness;Lumbar Spine;Muscle/tendon ;Tendinopathy ;;
TR1;Hamstring tendon injury;Thigh;Muscle/tendon ;Tendon rupture ;;
TT1;Hamstring origin tendinopathy;Thigh;Muscle/tendon ;Tendinopathy ;;
TTH;Hamstring tendinopathy with ischial bursitis;Thigh;Muscle/tendon ;Tendinopathy ;;
TRH;Hamstring origin tendon rupture;Thigh;Muscle/tendon ;Tendon rupture ;;
LPS;Sacroiliac Joint Injury/Pain;Lumbar Spine;Non-specific ;Pain without tissue type specified ;;
LLS;Sacroiliac joint sprain;Lumbar Spine;Ligament/joint capsule ;Ligament;;
LLC;Sacrococcygeal joint injury/pain;Lumbar Spine;Ligament/joint capsule ;Ligament;;
LUS;Sacroiliac Joint Instability;Lumbar Spine;Ligament/joint capsule ;Chronic instability ;;
MRYIL;Sacroiliac Joint Inflammation;Medical;;;Musculoskeletal ;Immunological/inflammatory
GBT;Trochanteric bursitis;Groin/hip;Cartilage/synovium/bursa ;Bursitis ;;
LFP;Pelvic fracture(s);Lumbar Spine;Bone ;Fracture ;;
GF3;Fractured Ilium;Groin/hip;Bone ;Fracture ;;
LFS;Fractured sacrum;Lumbar Spine;Bone ;Fracture ;;
GF2;Fractured coccyx;Groin/hip;Bone ;Fracture ;;
LFI;Fractured ischium;Lumbar Spine;Bone ;Fracture ;;
LSI;Stress fracture ilium;Lumbar Spine;Bone ;Bone stress injury ;;
LSS;Stress fracture sacrum;Lumbar Spine;Bone ;Bone stress injury ;;
LSC;Stress fracture coccyx;Lumbar Spine;Bone ;Bone stress injury ;;
LSIS;Stress fracture ischium;Lumbar Spine;Bone ;Bone stress injury ;;
GSM;Multiple stress fractures pelvis;Groin/hip;Bone ;Bone stress injury ;;
LSG;Other stress fracture pelvis;Lumbar Spine;Bone ;Bone stress injury ;;
LNBP;Pudendal Nerve Injury;Lumbar Spine;Nervous system;Nerve injury;;
LNB;Buttock Nerve Injury;Lumbar Spine;Nervous system;Nerve injury;;
LNP;Piriformis syndrome (with sciatic nerve impingement);Lumbar Spine;Nervous system;Nerve injury;;
LZB;Buttock Pain not otherwise specified;Lumbar Spine;Non-specific ;Unknown;;
LZU;Buttock pain undiagnosed;Lumbar Spine;Non-specific ;Unknown;;
GZN;Pelvic/Buttock Pain not otherwise specified;Groin/hip;Non-specific ;Unknown;;
GH1;contusion/haematoma, hip region;Groin/hip;Muscle/tendon ;Muscle contusion ;;
GO2;Testicular/scrotal contusion/haematoma;Groin/hip;Internal organs ;Organ trauma ;;
GHL;Labial bruising/haematoma;Groin/hip;Muscle/tendon ;Muscle contusion ;;
GHZ;Other hip/groin bruising/haematoma;Groin/hip;Muscle/tendon ;Muscle contusion ;;
GKX;Hip and Groin Laceration;Groin/hip;Superficial tissues/skin ;Laceration ;;
GK1;Complication of laceration including infection;Groin/hip;Superficial tissues/skin ;Laceration ;;
GIX;Groin/hip abrasion ;Groin/hip;Superficial tissues/skin ;Abrasion ;;
GM8;Hip and Groin Muscle Strain/Tear;Groin/hip;Muscle/tendon ;Muscle injury;;
GJX;Groin/hip bone contusion  ;Groin/hip;Bone ;Bone contusion  ;;
GM1;Hip flexor muscle strain;Groin/hip;Muscle/tendon ;Muscle injury;;
GMFP;Psoas muscle strain/tear;Groin/hip;Muscle/tendon ;Muscle injury;;
GMP;Iliopsoas muscle strain/tear;Groin/hip;Muscle/tendon ;Muscle injury;;
GMY;Groin soreness or trigger points;Groin/hip;Muscle/tendon ;Muscle injury;;
GMI;Soreness/trigger points iliopsoas;Groin/hip;Muscle/tendon ;Muscle injury;;
GTS;Snapping psoas tendon;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTX;Hip and Groin Tendon Injuries;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTF;Iliopsoas tendon injury;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTFT;Iliopsoas tendinopathy;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GT3;Iliopsoas tendinopathy/bursitis;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTFS;Iliopsoas tendon strain;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTFR;Iliopsoas tendon rupture;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTR;Rectus femoris tendon injury;Groin/hip;Muscle/tendon ;Tendinopathy ;;
TTR;Rectus femoris origin tendinopathy;Thigh;Muscle/tendon ;Tendinopathy ;;
GTRS;Rectus femoris tendon strain;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GRR;Rectus femoris origin tendon rupture;Groin/hip;Muscle/tendon ;Tendon rupture ;;
TTS;Sartorius tendon injury;Thigh;Muscle/tendon ;Tendinopathy ;;
GTST;Sartorius tendinopathy;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTSS;Sartorius tendon strain;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GRS;Sartorius tendon rupture;Groin/hip;Muscle/tendon ;Tendon rupture ;;
GTD;Unspecified or multiple adductor tendon injury;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTL;Adductor longus tendon injury;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GT1;Adductor origin tendinopathy;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTLS;Adductor longus tendon strain;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GRA;Adductor longus tendon rupture;Groin/hip;Muscle/tendon ;Tendon rupture ;;
GTM;Adductor magnus tendon injury;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTMT;Adductor magnus tendinopathy;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTMS;Adductor magnus tendon strain;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GRM;Adductor magnus tendon rupture;Groin/hip;Muscle/tendon ;Tendon rupture ;;
OTA;Abdominal tendon insertion injury;Abdomen;Muscle/tendon ;Tendinopathy ;;
GTO;Abdominal tendon insertion tendinopathy;Groin/hip;Muscle/tendon ;Tendinopathy ;;
OTS;Abdominal tendon insertion strain;Abdomen;Muscle/tendon ;Tendinopathy ;;
ORI;Abdominal tendon insertion rupture;Abdomen;Muscle/tendon ;Tendon rupture ;;
OTH;Sports hernia/abdominal tendinopathy;Abdomen;Muscle/tendon ;Tendinopathy ;;
GTH;Sportsman's hernia;Groin/hip;Muscle/tendon ;Tendinopathy ;;
OTI;Direct inguinal hernia;Abdomen;Muscle/tendon ;Tendinopathy ;;
GTHI;Indirect inguinal hernia;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GTHF;Femoral hernia;Groin/hip;Muscle/tendon ;Tendinopathy ;;
GLH;Hip joint sprain/jar;Groin/hip;Ligament/joint capsule ;Ligament;;
GCL;Labral tear, hip joint;Groin/hip;Cartilage/synovium/bursa ;Cartilage ;;
GC1;Hip Joint Chondral/Osteochondral Injury;Groin/hip;Cartilage/synovium/bursa ;Cartilage ;;
GCC;Hip joint chondral lesion;Groin/hip;Cartilage/synovium/bursa ;Cartilage ;;
GD1;Hip Joint Dislocation;Groin/hip;Ligament/joint capsule ;Joint sprain;;
GUH;Instability of Hip joint;Groin/hip;Ligament/joint capsule ;Chronic instability ;;
GUP;Pubic symphysis instability;Groin/hip;Ligament/joint capsule ;Chronic instability ;;
GQX;Hip Joint Inflammation/Synovitis/Other Biomechanical Lesion;Groin/hip;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
GQH;Synovitis of hip joint;Groin/hip;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
GZH;Clicking hip;Groin/hip;Non-specific ;Unknown;;
GFX;Hip/Groin Fractures;Groin/hip;Bone ;Fracture ;;
GFF;Femoral fracture;Groin/hip;Bone ;Fracture ;;
GFN;Fractured neck of femur;Groin/hip;Bone ;Fracture ;;
GF1;Acetabular fracture;Groin/hip;Bone ;Fracture ;;
GFP;Fracture pubic ramus;Groin/hip;Bone ;Fracture ;;
GFPS;Fracture superior pubic ramus;Groin/hip;Bone ;Fracture ;;
GFPI;Fracture inferior pubic ramus;Groin/hip;Bone ;Fracture ;;
GSX;Hip/Groin Stress Fracture;Groin/hip;Bone ;Bone stress injury ;;
GSN;Femoral neck stress fracture;Groin/hip;Bone ;Bone stress injury ;;
GSFS;Stress fracture superior cortex femoral neck;Groin/hip;Bone ;Bone stress injury ;;
GSFI;Stress fracture inferior cortex femoral neck;Groin/hip;Bone ;Bone stress injury ;;
GS2;Stress fracture through femoral neck (both cortices);Groin/hip;Bone ;Bone stress injury ;;
GSP;Pelvic stress fracture;Groin/hip;Bone ;Bone stress injury ;;
GS3;Stress fracture pelvic bone;Groin/hip;Bone ;Bone stress injury ;;
GSPI;Stress fracture inferior pubic ramus;Groin/hip;Bone ;Bone stress injury ;;
GPY;Other Stress/Overuse Injury Hip and Groin;Groin/hip;Non-specific ;Pain without tissue type specified ;;
GS1;Osteitis pubis;Groin/hip;Bone ;Bone stress injury ;;
GP1;Chronic non specific /functional groin pain;Groin/hip;Non-specific ;Pain without tissue type specified ;;
GNX;Groin Neurovascular Injuries;Groin/hip;Nervous system;Nerve injury;;
GNE;Nerve Entrapment Groin;Groin/hip;Nervous system;Nerve injury;;
GN1;Genitofemoral nerve entrapment;Groin/hip;Nervous system;Nerve injury;;
GNI;Ilioinguinal nerve entrapment;Groin/hip;Nervous system;Nerve injury;;
GNO;Obturator nerve entrapment;Groin/hip;Nervous system;Nerve injury;;
GVI;Exercise-related iliac artery flow limitation;Groin/hip;Vessels;Contusion/vascular;;
GVH;Vascular Injury Hip Region;Groin/hip;Vessels;Contusion/vascular;;
GEVA;Avascular necrosis femoral head;Groin/hip;Bone ;Avascular necrosis ;;
GOT;Groin Organ Damage;Groin/hip;Internal organs ;Organ trauma ;;
GOR;Testicular rupture;Groin/hip;Internal organs ;Organ trauma ;;
GOU;Penile injury;Groin/hip;Internal organs ;Organ trauma ;;
GO1;Ruptured penis/urethra;Groin/hip;Internal organs ;Organ trauma ;;
GAX;Hip/Groin Arthritis;Groin/hip;Cartilage/synovium/bursa ;Arthritis ;;
GA1;Hip joint osteoarthritis (O/A);Groin/hip;Cartilage/synovium/bursa ;Arthritis ;;
GZX;Hip/Groin Pain Not otherwise specified;Groin/hip;Non-specific ;Unknown;;
GZ1;Groin pain undiagnosed;Groin/hip;Non-specific ;Unknown;;
TZX;Thigh Pain Not otherwise specified;Thigh;Non-specific ;Unknown;;
TH1;Contusion/haematoma of thigh;Thigh;Muscle/tendon ;Muscle contusion ;;
THT;Thigh muscle haematoma;Thigh;Muscle/tendon ;Muscle contusion ;;
THD;Adductor muscle haematoma;Thigh;Muscle/tendon ;Muscle contusion ;;
THH;Hamstring muscle haematoma;Thigh;Muscle/tendon ;Muscle contusion ;;
THQ;Quadriceps muscle haematoma;Thigh;Muscle/tendon ;Muscle contusion ;;
THV;Iliotibial band haematoma;Thigh;Muscle/tendon ;Muscle contusion ;;
THA;Acute arterial bleed thigh;Thigh;Muscle/tendon ;Muscle contusion ;;
THM;Myositis ossificans thigh;Thigh;Muscle/tendon ;Muscle contusion ;;
THZ;Other thigh soft tissue bruising/haematoma not otherwise specified;Thigh;Muscle/tendon ;Muscle contusion ;;
TIX;Thigh abrasion ;Thigh;Superficial tissues/skin ;Abrasion ;;
TKX;Thigh Laceration/Abrasion;Thigh;Superficial tissues/skin ;Laceration ;;
TK1;Complication of laceration incl. infection;Thigh;Superficial tissues/skin ;Laceration ;;
TMZ;Thigh Muscle strain/Spasm/Trigger Points;Thigh;Muscle/tendon ;Muscle injury;;
TM1;Hamstring strain/tear;Thigh;Muscle/tendon ;Muscle injury;;
TMB;Biceps femoris strain grade 1 - 2;Thigh;Muscle/tendon ;Muscle injury;;
TMS;Semimembranosis/tendinosis strain (grade 1 - 2);Thigh;Muscle/tendon ;Muscle injury;;
TMHR;Grade 3 hamstring strain;Thigh;Muscle/tendon ;Muscle injury;;
TM2;Quadriceps strain/tear;Thigh;Muscle/tendon ;Muscle injury;;
TMR;Rectus femoris strain;Thigh;Muscle/tendon ;Muscle injury;;
TMQ;Rectus femoris rupture;Thigh;Muscle/tendon ;Muscle injury;;
TMV;Other quadricep strain;Thigh;Muscle/tendon ;Muscle injury;;
TMA;Distal adductor strain;Thigh;Muscle/tendon ;Muscle injury;;
TMAL;Adductor longus strain;Thigh;Muscle/tendon ;Muscle injury;;
TMM;Adductor magnus strain;Thigh;Muscle/tendon ;Muscle injury;;
TMAR;Adductor muscle rupture/grade 3 strain;Thigh;Muscle/tendon ;Muscle injury;;
TML;Back referred muscle tightness;Thigh;Muscle/tendon ;Muscle injury;;
TMW;Back referred hamstring tightness;Thigh;Muscle/tendon ;Muscle injury;;
TMC;Thigh muscle cramping during exercise;Thigh;Muscle/tendon ;Muscle injury;;
TMH;Hamstring cramping during exercise;Thigh;Muscle/tendon ;Muscle injury;;
TMCQ;Quadricep cramping during exercise;Thigh;Muscle/tendon ;Muscle injury;;
TMCA;Adductor muscle cramping during exercise;Thigh;Muscle/tendon ;Muscle injury;;
TMP;Thigh muscle trigger points;Thigh;Muscle/tendon ;Muscle injury;;
TMY;Lateral hamstring trigger points;Thigh;Muscle/tendon ;Muscle injury;;
TMT;Rectus femoris trigger points;Thigh;Muscle/tendon ;Muscle injury;;
GMA;Proximal adductor trigger points;Groin/hip;Muscle/tendon ;Muscle injury;;
TMGX;Thigh muscle wasting;Thigh;Muscle/tendon ;Muscle injury;;
TMGQ;Quadriceps wasting;Thigh;Muscle/tendon ;Muscle injury;;
TT8;Thigh Tendon Injuries;Thigh;Muscle/tendon ;Tendinopathy ;;
TFX;Thigh Fractures;Thigh;Bone ;Fracture ;;
TF1;Fractured femoral shaft;Thigh;Bone ;Fracture ;;
TGX;Thigh region physis injury ;Thigh;Bone ;Physis injury ;;
TS1;Thigh Stress Fractures;Thigh;Bone ;Bone stress injury ;;
TJF;Femur bone contusion  ;Thigh;Bone ;Bone contusion  ;;
TSF;Femoral shaft stress fracture;Thigh;Bone ;Bone stress injury ;;
TZS;Other stress/Overuse Injuries to Thigh;Thigh;Non-specific ;Unknown;;
TYC;Compartment Syndrome of Thigh;Thigh;Muscle/tendon ;Muscle compartment syndrome ;;
TTP;Tenoperiostitis of Thigh;Thigh;Muscle/tendon ;Tendinopathy ;;
GNM;Thigh Neurological Injury;Groin/hip;Nervous system;Nerve injury;;
TN1;Nerve entrapment in thigh;Thigh;Nervous system;Nerve injury;;
TNEL;Lateral cutaneous nerve of thigh entrapment;Thigh;Nervous system;Nerve injury;;
TPZ;Thigh pain without tissue type specified ;Thigh;Non-specific ;Pain without tissue type specified ;;
TZ1;Thigh pain/Injury Not otherwise specified;Thigh;Non-specific ;Unknown;;
TZZ;Thigh pain undiagnosed;Thigh;Non-specific ;Unknown;;
KV1;Knee contusion/haematoma (extraarticular);Knee;Vessels;Contusion/vascular;;
KHQ;Distal quadricep haematoma;Knee;Muscle/tendon ;Muscle contusion ;;
KVM;Knee MCL contusion;Knee;Vessels;Contusion/vascular;;
KIX;Knee abrasion ;Knee;Superficial tissues/skin ;Abrasion ;;
KBPT;Traumatic knee bursitis;Knee;Cartilage/synovium/bursa ;Bursitis ;;
KJX;Knee bone contusion  ;Knee;Bone ;Bone contusion  ;;
KBP;Prepatellar bursitis;Knee;Cartilage/synovium/bursa ;Bursitis ;;
KBI;Infrapatella fat pad contusion/haematoma +/- bursitis;Knee;Cartilage/synovium/bursa ;Bursitis ;;
KH1;Other soft tissue bruising/haematoma knee;Knee;Muscle/tendon ;Muscle contusion ;;
KK1;Lacerated knee;Knee;Superficial tissues/skin ;Laceration ;;
KKS;Superficial knee laceration/abrasion;Knee;Superficial tissues/skin ;Laceration ;;
KKD;Deep knee laceration - intraarticular;Knee;Superficial tissues/skin ;Laceration ;;
KMX;Knee Muscle Strain/Spasm/Trigger Points;Knee;Muscle/tendon ;Muscle injury;;
KMP;Popliteus muscle strain;Knee;Muscle/tendon ;Muscle injury;;
KT3;Knee Tendon Injury;Knee;Muscle/tendon ;Tendinopathy ;;
KTQ;Quadriceps tendon injury;Knee;Muscle/tendon ;Tendinopathy ;;
KT7;Quadriceps tendinopathy +/- suprapatellar bursitis;Knee;Muscle/tendon ;Tendinopathy ;;
KTP;Patellar Tendon Injury;Knee;Muscle/tendon ;Tendinopathy ;;
KT2;Patellar tendinopathy;Knee;Muscle/tendon ;Tendinopathy ;;
KGO;Osgood-Schlatter syndrome;Knee;Bone ;Physis injury ;;
KR1;Patellar tendon rupture;Knee;Muscle/tendon ;Tendon rupture ;;
KTPI;Insertional Patellar tendon pathology, incl intratendon ossicle;Knee;Muscle/tendon ;Tendinopathy ;;
KRH;Hamstring tendon rupture;Knee;Muscle/tendon ;Tendon rupture ;;
KTS;Medial hamstring insertion tendonitis/pes anserinus bursitis;Knee;Muscle/tendon ;Tendinopathy ;;
KTB;Lateral hamstring insertion tendonitis;Knee;Muscle/tendon ;Tendinopathy ;;
KTH;Medial hamstring tendon strain at knee;Knee;Muscle/tendon ;Tendinopathy ;;
KR2;Medial hamstring tendon rupture;Knee;Muscle/tendon ;Tendon rupture ;;
KT9;Lateral hamstring tendon strain at knee;Knee;Muscle/tendon ;Tendinopathy ;;
KRQ;Quadriceps tendon rupture;Knee;Muscle/tendon ;Tendon rupture ;;
KRL;Lateral hamstring tendon rupture at knee;Knee;Muscle/tendon ;Tendon rupture ;;
KTM;Gastrocnemius tendon injury;Knee;Muscle/tendon ;Tendinopathy ;;
KTG;Medial gastroc tendinopathy knee;Knee;Muscle/tendon ;Tendinopathy ;;
KTL;Lateral gastroc tendinopathy knee;Knee;Muscle/tendon ;Tendinopathy ;;
KT5;Popliteus tendinopathy/strain;Knee;Muscle/tendon ;Tendinopathy ;;
KLZ;Knee Sprains/Ligament Injuries;Knee;Ligament/joint capsule ;Ligament;;
KL1;Anterior cruciate ligament (ACL) injury;Knee;Ligament/joint capsule ;Ligament;;
KLI;Partial ACL tear;Knee;Ligament/joint capsule ;Ligament;;
KLA;ACL rupture;Knee;Ligament/joint capsule ;Ligament;;
KLC;ACL strain/rupture with chondral/meniscal injury;Knee;Ligament/joint capsule ;Ligament;;
KLG;ACL graft rupture;Knee;Ligament/joint capsule ;Ligament;;
KL2;Posterior cruciate ligament (PCL) injury;Knee;Ligament/joint capsule ;Ligament;;
KLQ;Partial PCL tear;Knee;Ligament/joint capsule ;Ligament;;
KLP;PCL rupture;Knee;Ligament/joint capsule ;Ligament;;
KPR;PCL strain/rupture with associated chondral/meniscal injury;Knee;Non-specific ;Pain without tissue type specified ;;
KL3;Knee medial collateral ligament (MCL) injury;Knee;Ligament/joint capsule ;Ligament;;
KLV;Grade 1 MCL tear knee;Knee;Ligament/joint capsule ;Ligament;;
KLW;Grade 2 MCL tear knee;Knee;Ligament/joint capsule ;Ligament;;
KLM;MCL rupture knee;Knee;Ligament/joint capsule ;Ligament;;
KLY;MCL strain/rupture with chondral/meniscal damage knee;Knee;Ligament/joint capsule ;Ligament;;
KLS;Complication post MCL strain/rupture incl Pellegrini Stieda lesion;Knee;Ligament/joint capsule ;Ligament;;
KLL;Posterolateral corner and LCL ligament injuries knee;Knee;Ligament/joint capsule ;Ligament;;
KL4;Lateral collateral ligament (LCL) strain/rupture;Knee;Ligament/joint capsule ;Ligament;;
KL5;Knee posterolateral complex (PLC) strain/tear;Knee;Ligament/joint capsule ;Ligament;;
KLT;PLC injury with chondral /meniscal injury;Knee;Ligament/joint capsule ;Ligament;;
KDS;Patellar subluxation;Knee;Ligament/joint capsule ;Joint sprain;;
KLX;Combined ligament injuries knee;Knee;Ligament/joint capsule ;Ligament;;
KLK;Combined ligament injury with chondral/meniscal injury;Knee;Ligament/joint capsule ;Ligament;;
QL1;Sprained superior tibiofibular joint;Lower leg;Ligament/joint capsule ;Ligament;;
KC8;Knee joint cartilage injury (unspecified);Knee;Cartilage/synovium/bursa ;Cartilage ;;
KC1;Knee articular cartilage damage;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KCM;Medial femoral condyle osteochondral injury;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KCK;Lateral femoral condyle osteochondral injury;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KCT;Tibial osteochondral injury;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KCU;Patellofemoral osteochondral injury;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KCL;Knee cartilage injury with loose bodies;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KC2;Medial meniscal tear;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KC3;Lateral meniscal tear;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KCC;Lateral meniscal cyst;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KC5;Medial and lateral meniscal tears;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KCD;Degenerative meniscal tear;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KCB;Mixed osteochondral and meniscal injury;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KD1;Dislocated patella;Knee;Ligament/joint capsule ;Joint sprain;;
KDP;Patellar dislocation with avulsion fracture patella;Knee;Ligament/joint capsule ;Joint sprain;;
KDK;Knee dislocation  ;Knee;Ligament/joint capsule ;Joint sprain;;
KD2;Knee dislocation with neural or vascular complication;Knee;Ligament/joint capsule ;Joint sprain;;
KDT;Superior tibiofibular joint dislocation;Knee;Ligament/joint capsule ;Joint sprain;;
KUX;Knee Instability (chronic or recurrent subluxations);Knee;Ligament/joint capsule ;Chronic instability ;;
KU2;Patellar instability;Knee;Ligament/joint capsule ;Chronic instability ;;
KU1;Chronic ACL insufficiency;Knee;Ligament/joint capsule ;Chronic instability ;;
KUP;Chronic PCL insufficiency;Knee;Ligament/joint capsule ;Chronic instability ;;
KUM;Chronic MCL insufficiency;Knee;Ligament/joint capsule ;Chronic instability ;;
KUZ;Other instability;Knee;Ligament/joint capsule ;Chronic instability ;;
